transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0008,Medina-Central,-230,231.48,60.01,52.33,40.5,NORMAL,B,25-05-2026 00:58
TRF-0009,Abha-City,239.15,477.27,59.91,114.14,55.6,NORMAL,A,20260525T005847
TRF-0010,Tabuk-Center,227.49,303.87,59.95,69.13,64.5,NORMAL,A,20260525T005847
TRF-0001,Riyadh-North,231.6,161.57,60.09,37.42,42.5,NORMAL,C,20260525T005847
TRF-0002,Riyadh-East,239.59,432.32,60.14,103.58,45.0,NORMAL,C,05/25/2026 00:58:47
TRF-0003,Jeddah-Main,237.78,155.31,59.91,36.93,37.7,NORMAL,A,2026/05/25 00:58:47
TRF-0004,Jeddah-Industrial,225.97,410.49,60.07,92.76,250.0,OVERHEAT,A,05/25/2026 00:58:47
TRF-0005,Dammam-Central,229.49,305.66,60.01,70.15,62.8,NORMAL,C,2026/05/25 00:58:47
TRF-0006,Dammam-Port,230.52,181.61,,41.86,64.6,NORMAL,C,2026/05/25 00:58:47
TRF-0007,Mecca-Haram,227.85,271.53,60.06,61.87,37.0,NORMAL,C,2026/05/25 00:58:47
TRF-0008,Medina-Central,222.95,121.39,59.9,27.06,52.9,NORMAL,B,2026-05-25 00:58:47
TRF-0009,Abha-City,227.54,417.64,59.91,95.03,39.0,NORMAL,C,2026/05/25 00:58:47
TRF-0010,Tabuk-Center,234.64,381.63,59.92,89.55,60.3,NORMAL,A,05/25/2026 00:58:47
TRF-0001,Riyadh-North,236.35,125.75,59.97,29.72,61.8,NORMAL,A,05/25/2026 00:58:47
TRF-0002,Riyadh-East,222.55,491.53,60.2,109.39,44.4,NORMAL,B,2026-05-25 00:58:47
TRF-0003,Jeddah-Main,239.25,129.42,59.96,30.96,55.2,NORMAL,A,05/25/2026 00:58:47
TRF-0004,Jeddah-Industrial,231.38,205.66,60.04,47.59,46.0,NORMAL,C,25-05-2026 00:58
TRF-0005,Dammam-Central,227.75,210.41,59.97,47.92,51.1,NORMAL,A,2026-05-25 00:58:47
TRF-0006,Dammam-Port,231.42,499.45,59.8,115.58,60.7,NORMAL,C,2026/05/25 00:58:47
TRF-0007,Mecca-Haram,232.49,445.12,59.91,103.49,59.9,NORMAL,C,20260525T005847
TRF-0008,Medina-Central,229.05,286.53,59.83,65.63,51.4,NORMAL,A,05/25/2026 00:58:47
TRF-0009,Abha-City,234.98,370.72,59.98,87.11,56.4,NORMAL,C,20260525T005847
TRF-0010,Tabuk-Center,233.07,333.14,60.03,77.64,38.9,NORMAL,B,20260525T005847
TRF-0001,Riyadh-North,220.39,381.08,60.0,83.99,61.2,NORMAL,A,05/25/2026 00:58:48
TRF-0002,Riyadh-East,222.12,383.66,59.98,85.22,38.1,NORMAL,C,05/25/2026 00:58:48
TRF-0003,Jeddah-Main,231.38,105.39,59.97,24.39,52.9,NORMAL,C,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,230.02,369.86,60.1,85.08,41.7,NORMAL,A,2026-05-25 00:58:48
TRF-0005,Dammam-Central,236.39,281.95,59.85,66.65,33.2,NORMAL,B,2026-05-25 00:58:48
TRF-0006,Dammam-Port,224.45,497.33,60.08,111.63,63.2,NORMAL,C,05/25/2026 00:58:48
TRF-0007,Mecca-Haram,223.16,330.99,59.86,73.86,62.8,NORMAL,B,2026/05/25 00:58:48
TRF-0008,Medina-Central,232.8,224.21,59.81,52.2,62.9,NORMAL,B,20260525T005848
TRF-0009,Abha-City,238.46,161.25,60.11,38.45,50.9,NORMAL,B,25-05-2026 00:58
TRF-0010,Tabuk-Center,239.15,133.59,60.06,31.95,36.7,NORMAL,A,2026-05-25 00:58:48
TRF-0001,Riyadh-North,231.03,229.08,60.14,52.92,57.9,NORMAL,A,20260525T005848
TRF-0002,Riyadh-East,226.8,153.76,60.14,34.87,33.7,NORMAL,A,20260525T005848
TRF-0003,Jeddah-Main,221.68,484.0,59.9,107.29,37.4,NORMAL,C,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,232.72,279.33,60.09,65.01,55.7,NORMAL,A,20260525T005848
TRF-0005,Dammam-Central,231.24,102.4,60.09,23.68,45.0,NORMAL,A,2026/05/25 00:58:48
TRF-0005,Dammam-Central,231.24,102.4,60.09,23.68,45.0,NORMAL,A,2026/05/25 00:58:48
TRF-0006,Dammam-Port,223.63,389.53,60.04,87.11,31.9,NORMAL,A,20260525T005848
TRF-0007,Mecca-Haram,231.8,426.57,60.05,98.88,53.7,NORMAL,B,05/25/2026 00:58:48
TRF-0008,Medina-Central,227.31,106.39,60.18,24.18,59.0,NORMAL,B,05/25/2026 00:58:48

