product_id,product_name,category,price,inventory,created_at,updated_at
PRD000001,Wireless Earbuds 01,Electronics,17.24,33,2026-04-24T08:00:00Z,2026-04-25T08:00:00Z
PRD000002,Coffee Maker 02,Home,24.49,46,2026-04-23T08:00:00Z,2026-04-25T08:00:00Z
PRD000003,Everyday Backpack 03,Fashion,30.99,59,2026-04-22T08:00:00Z,2026-04-25T08:00:00Z
PRD000004,Skin Care Set 04,Beauty,38.24,72,2026-04-21T08:00:00Z,2026-04-25T08:00:00Z
PRD000005,Yoga Mat 05,Sports,45.49,85,2026-04-20T08:00:00Z,2026-04-25T08:00:00Z
PRD000006,Data Engineering Guide 06,Books,51.99,98,2026-04-19T08:00:00Z,2026-04-25T08:00:00Z
PRD000007,Smart Watch 07,Electronics,59.24,111,2026-04-18T08:00:00Z,2026-04-25T08:00:00Z
PRD000008,Desk Lamp 08,Home,16.49,124,2026-04-17T08:00:00Z,2026-04-25T08:00:00Z
PRD000009,Cotton Hoodie 09,Fashion,22.99,137,2026-04-16T08:00:00Z,2026-04-25T08:00:00Z
PRD000010,Hair Dryer 10,Beauty,30.24,150,2026-04-15T08:00:00Z,2026-04-15T08:00:00Z
PRD000011,Resistance Bands 11,Sports,37.49,163,2026-04-14T08:00:00Z,2026-04-15T08:00:00Z
PRD000012,Product Design Book 12,Books,43.99,176,2026-04-13T08:00:00Z,2026-04-15T08:00:00Z
PRD000013,Bluetooth Speaker 13,Electronics,51.24,189,2026-04-12T08:00:00Z,2026-04-15T08:00:00Z
PRD000014,Air Purifier 14,Home,58.49,22,2026-04-11T08:00:00Z,2026-04-15T08:00:00Z
PRD000015,Running Shoes 15,Fashion,14.99,35,2026-04-10T08:00:00Z,2026-04-15T08:00:00Z
PRD000016,Face Cleanser 16,Beauty,22.24,48,2026-04-09T08:00:00Z,2026-04-15T08:00:00Z
PRD000017,Fitness Tracker 17,Sports,29.49,61,2026-04-08T08:00:00Z,2026-04-15T08:00:00Z
PRD000018,Business Analytics Book 18,Books,35.99,74,2026-04-07T08:00:00Z,2026-04-15T08:00:00Z
PRD000019,USB-C Hub 19,Electronics,43.24,87,2026-04-06T08:00:00Z,2026-04-15T08:00:00Z
PRD000020,Storage Basket 20,Home,50.49,100,2026-04-25T08:00:00Z,2026-04-25T08:00:00Z
PRD000021,Classic Cap 21,Fashion,56.99,113,2026-04-24T08:00:00Z,2026-04-25T08:00:00Z
PRD000022,Body Lotion 22,Beauty,14.24,126,2026-04-23T08:00:00Z,2026-04-25T08:00:00Z
PRD000023,Insulated Bottle 23,Sports,21.49,139,2026-04-22T08:00:00Z,2026-04-25T08:00:00Z
PRD000024,Python Cookbook 24,Books,27.99,152,2026-04-21T08:00:00Z,2026-04-25T08:00:00Z
PRD000025,Gaming Mouse 25,Electronics,35.24,165,2026-04-20T08:00:00Z,2026-04-25T08:00:00Z
PRD000026,Kitchen Scale 26,Home,42.49,178,2026-04-19T08:00:00Z,2026-04-25T08:00:00Z
PRD000027,Travel Wallet 27,Fashion,48.99,191,2026-04-18T08:00:00Z,2026-04-25T08:00:00Z
PRD000028,Makeup Brush Set 28,Beauty,56.24,24,2026-04-17T08:00:00Z,2026-04-25T08:00:00Z
PRD000029,Training Gloves 29,Sports,13.49,37,2026-04-16T08:00:00Z,2026-04-25T08:00:00Z
PRD000030,Leadership Journal 30,Books,19.99,50,2026-04-15T08:00:00Z,2026-04-15T08:00:00Z
