transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0009,Abha-City,236.67,210.66,59.93,49.86,35.0,NORMAL,C,2026/05/25 00:59:03
TRF-0010,Tabuk-Center,226.89,360.86,59.89,81.88,57.2,NORMAL,C,2026-05-25 00:59:03
TRF-0001,Riyadh-North,239.49,424.42,59.95,101.64,34.6,NORMAL,B,2026-05-25 00:59:03
TRF-0002,Riyadh-East,239.15,324.03,60.11,77.49,53.8,NORMAL,C,2026-05-25 00:59:03
TRF-0003,Jeddah-Main,225.68,410.04,60.15,92.54,37.4,NORMAL,A,2026-05-25 00:59:03
TRF-0004,Jeddah-Industrial,236.74,273.93,59.84,64.85,63.1,NORMAL,B,20260525T005903
TRF-0005,Dammam-Central,230.87,224.77,60.17,51.89,59.2,NORMAL,C,2026-05-25 00:59:03
TRF-0006,Dammam-Port,235.15,417.47,60.13,98.17,47.9,NORMAL,A,20260525T005903
TRF-0007,Mecca-Haram,234.91,171.43,59.89,40.27,43.0,NORMAL,B,05/25/2026 00:59:03
TRF-0008,Medina-Central,230.27,179.48,59.99,41.33,61.9,NORMAL,B,05/25/2026 00:59:03
TRF-0009,Abha-City,224.47,117.06,60.06,26.28,62.7,NORMAL,A,2026/05/25 00:59:03
TRF-0010,Tabuk-Center,222.38,151.65,59.81,33.72,39.3,NORMAL,A,20260525T005903
TRF-0001,Riyadh-North,222.77,224.71,59.86,50.06,37.1,NORMAL,A,2026-05-25 00:59:03
TRF-0002,Riyadh-East,235.94,482.6,60.11,113.86,63.9,NORMAL,B,2026/05/25 00:59:03
TRF-0003,Jeddah-Main,228.16,126.88,60.17,28.95,51.4,NORMAL,B,2026-05-25 00:59:03
TRF-0004,Jeddah-Industrial,238.81,461.55,59.83,110.22,34.3,NORMAL,B,2026-05-25 00:59:03
TRF-0005,Dammam-Central,225.46,488.71,,110.18,42.1,NORMAL,A,2026-05-25 00:59:03
TRF-0006,Dammam-Port,239.13,230.67,59.82,55.16,45.9,NORMAL,C,2026/05/25 00:59:03
TRF-0007,Mecca-Haram,238.96,484.52,59.91,115.78,48.4,NORMAL,C,25-05-2026 00:59
TRF-0008,Medina-Central,228.61,114.14,59.87,26.09,63.7,NORMAL,C,05/25/2026 00:59:03
TRF-0009,Abha-City,227.92,217.27,60.13,49.52,61.2,NORMAL,A,20260525T005903
TRF-0010,Tabuk-Center,227.48,179.09,59.86,40.74,49.3,NORMAL,A,20260525T005903
TRF-0001,Riyadh-North,239.89,442.57,60.05,106.17,48.3,NORMAL,C,05/25/2026 00:59:03
TRF-0002,Riyadh-East,-230,425.11,60.07,94.57,38.5,NORMAL,C,2026-05-25 00:59:03
TRF-0003,Jeddah-Main,229.67,125.92,59.9,28.92,250.0,OVERHEAT,C,20260525T005903
TRF-0003,Jeddah-Main,229.67,125.92,59.9,28.92,250.0,OVERHEAT,C,20260525T005903
TRF-0004,Jeddah-Industrial,237.88,329.7,60.13,78.43,54.4,NORMAL,A,25-05-2026 00:59
TRF-0005,Dammam-Central,226.0,312.26,59.86,70.57,52.2,NORMAL,C,2026-05-25 00:59:03
TRF-0006,Dammam-Port,230.03,367.62,59.96,84.56,250.0,OVERHEAT,A,05/25/2026 00:59:03
TRF-0007,Mecca-Haram,222.21,271.66,59.95,60.37,45.2,NORMAL,A,05/25/2026 00:59:03
TRF-0008,Medina-Central,238.34,331.35,60.2,78.97,63.1,NORMAL,B,2026/05/25 00:59:03
TRF-0009,Abha-City,237.35,368.98,59.93,87.58,39.3,NORMAL,A,2026-05-25 00:59:03
TRF-0010,Tabuk-Center,224.93,202.53,59.95,45.56,61.9,NORMAL,B,20260525T005903
TRF-0001,Riyadh-North,220.39,470.8,59.93,103.76,42.9,NORMAL,C,20260525T005904
TRF-0002,Riyadh-East,231.62,234.99,60.07,54.43,36.7,NORMAL,B,2026/05/25 00:59:04
TRF-0003,Jeddah-Main,237.24,194.07,60.12,46.04,47.0,NORMAL,A,05/25/2026 00:59:04
TRF-0004,Jeddah-Industrial,226.33,295.47,60.05,66.87,54.8,NORMAL,C,05/25/2026 00:59:04
TRF-0005,Dammam-Central,222.31,394.34,60.19,87.67,42.0,NORMAL,A,05/25/2026 00:59:04
TRF-0006,Dammam-Port,234.81,477.25,60.05,112.06,58.0,NORMAL,C,2026-05-25 00:59:04
TRF-0007,Mecca-Haram,234.18,449.06,59.9,105.16,54.2,NORMAL,B,2026/05/25 00:59:04
TRF-0008,Medina-Central,222.43,399.21,59.89,88.8,52.1,NORMAL,A,05/25/2026 00:59:04
TRF-0009,Abha-City,221.72,298.6,60.15,66.21,35.3,NORMAL,B,05/25/2026 00:59:04
TRF-0010,Tabuk-Center,227.49,411.03,60.18,93.51,56.4,NORMAL,A,25-05-2026 00:59
TRF-0001,Riyadh-North,229.43,287.82,59.88,66.03,44.8,NORMAL,B,25-05-2026 00:59
TRF-0002,Riyadh-East,222.44,186.92,59.89,,34.2,NORMAL,C,20260525T005904
TRF-0003,Jeddah-Main,228.62,428.24,60.01,97.9,53.9,NORMAL,C,2026/05/25 00:59:04
TRF-0004,Jeddah-Industrial,228.34,210.39,59.87,48.04,58.9,NORMAL,C,2026/05/25 00:59:04
TRF-0005,Dammam-Central,238.16,295.89,59.94,70.47,62.7,NORMAL,A,2026-05-25 00:59:04
TRF-0006,Dammam-Port,224.1,263.54,60.03,59.06,54.5,NORMAL,B,05/25/2026 00:59:04
TRF-0007,Mecca-Haram,227.55,115.48,60.03,26.28,47.9,NORMAL,B,05/25/2026 00:59:04
TRF-0008,Medina-Central,226.27,187.42,60.18,42.41,52.0,NORMAL,B,2026-05-25 00:59:04
TRF-0009,Abha-City,239.13,370.57,60.02,88.61,34.5,NORMAL,B,2026-05-25 00:59:04
TRF-0010,Tabuk-Center,222.78,441.58,59.97,98.38,31.8,NORMAL,B,2026-05-25 00:59:04
TRF-0001,Riyadh-North,232.43,494.21,59.84,114.87,35.8,NORMAL,C,2026/05/25 00:59:04
TRF-0002,Riyadh-East,233.79,295.99,59.91,69.2,62.2,NORMAL,C,25-05-2026 00:59
TRF-0003,Jeddah-Main,239.95,201.93,60.15,48.45,33.7,NORMAL,B,05/25/2026 00:59:04
TRF-0004,Jeddah-Industrial,231.44,174.53,59.99,40.39,60.2,NORMAL,A,20260525T005904
TRF-0005,Dammam-Central,-230,164.43,60.08,38.2,33.2,NORMAL,B,2026-05-25 00:59:04
TRF-0006,Dammam-Port,233.51,438.07,63.07,102.29,60.2,FREQ_DRIFT,B,25-05-2026 00:59
TRF-0007,Mecca-Haram,236.07,378.47,60.12,89.35,59.9,NORMAL,A,25-05-2026 00:59
TRF-0008,Medina-Central,235.08,203.36,59.99,47.81,52.3,NORMAL,B,2026/05/25 00:59:04
TRF-0009,Abha-City,222.76,289.26,59.84,64.44,38.8,NORMAL,C,25-05-2026 00:59
TRF-0010,Tabuk-Center,225.15,198.17,60.06,44.62,32.8,NORMAL,C,05/25/2026 00:59:04
TRF-0001,Riyadh-North,221.02,259.08,59.87,57.26,54.0,NORMAL,C,05/25/2026 00:59:04
TRF-0002,Riyadh-East,233.32,187.24,60.18,43.69,46.6,NORMAL,B,05/25/2026 00:59:04
TRF-0003,Jeddah-Main,238.36,412.61,59.84,98.35,31.6,NORMAL,A,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,235.58,324.21,59.99,76.38,30.5,NORMAL,B,2026-05-25 00:59:04
TRF-0005,Dammam-Central,227.64,125.22,60.18,28.51,42.7,NORMAL,B,25-05-2026 00:59
TRF-0006,Dammam-Port,224.84,466.06,60.07,104.79,44.6,NORMAL,B,2026/05/25 00:59:04
TRF-0007,Mecca-Haram,232.5,420.38,59.91,97.74,37.6,NORMAL,C,2026/05/25 00:59:04
TRF-0008,Medina-Central,232.7,242.91,59.94,56.53,59.0,NORMAL,C,2026-05-25 00:59:04
TRF-0009,Abha-City,236.39,125.43,59.99,29.65,,NORMAL,A,20260525T005904
TRF-0010,Tabuk-Center,232.03,477.12,60.08,110.71,63.9,NORMAL,C,25-05-2026 00:59
TRF-0001,Riyadh-North,233.51,307.16,60.08,71.72,52.5,NORMAL,B,05/25/2026 00:59:04
TRF-0002,Riyadh-East,225.5,197.8,60.19,44.6,42.2,NORMAL,B,2026/05/25 00:59:04
TRF-0003,Jeddah-Main,234.06,214.22,60.0,50.14,62.9,NORMAL,B,2026-05-25 00:59:04
TRF-0004,Jeddah-Industrial,237.62,201.78,60.13,47.95,34.1,NORMAL,A,05/25/2026 00:59:04
TRF-0005,Dammam-Central,239.27,145.87,59.98,34.9,41.0,NORMAL,B,2026-05-25 00:59:04
TRF-0006,Dammam-Port,223.45,334.98,59.93,74.85,32.3,NORMAL,B,2026/05/25 00:59:04
TRF-0007,Mecca-Haram,233.67,153.75,60.1,35.93,37.3,NORMAL,B,2026/05/25 00:59:04
TRF-0008,Medina-Central,231.14,0.0,60.15,0.0,59.3,OUTAGE,A,2026-05-25 00:59:04
TRF-0009,Abha-City,226.91,423.27,60.18,96.04,36.5,NORMAL,A,2026/05/25 00:59:04
TRF-0010,Tabuk-Center,225.95,402.82,60.04,91.02,51.4,NORMAL,B,2026-05-25 00:59:04
TRF-0001,Riyadh-North,235.04,410.26,59.88,96.43,31.9,NORMAL,A,2026/05/25 00:59:04
TRF-0002,Riyadh-East,222.8,316.8,59.89,70.58,52.7,NORMAL,C,2026/05/25 00:59:04
TRF-0003,Jeddah-Main,223.2,373.65,59.81,83.4,49.9,NORMAL,A,05/25/2026 00:59:04
TRF-0005,Dammam-Central,223.19,294.11,59.92,65.64,41.5,NORMAL,A,05/25/2026 00:59:04
TRF-0006,Dammam-Port,233.5,1119.42,60.02,282.96,96.9,OVERLOAD,B,20260525T005904
TRF-0007,Mecca-Haram,223.83,246.58,59.99,55.19,53.7,NORMAL,A,20260525T005904
TRF-0008,Medina-Central,239.38,280.58,60.04,67.17,58.2,NORMAL,B,20260525T005904
TRF-0009,Abha-City,221.44,351.63,50.57,77.86,43.4,FREQ_DRIFT,C,20260525T005904
TRF-0010,Tabuk-Center,222.59,262.04,60.01,58.33,47.5,NORMAL,A,2026/05/25 00:59:04
TRF-0001,Riyadh-North,233.22,199.25,60.04,46.47,31.9,NORMAL,B,2026-05-25 00:59:04
TRF-0002,Riyadh-East,238.93,260.76,59.93,62.3,59.8,NORMAL,B,20260525T005904
TRF-0003,Jeddah-Main,236.97,364.1,59.99,86.28,63.5,NORMAL,A,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,228.8,242.75,60.1,,41.1,NORMAL,C,05/25/2026 00:59:04
TRF-0005,Dammam-Central,229.57,313.44,59.91,71.96,39.0,NORMAL,B,2026/05/25 00:59:04
TRF-0006,Dammam-Port,224.96,441.2,60.06,99.25,43.6,NORMAL,C,05/25/2026 00:59:04
TRF-0007,Mecca-Haram,234.56,390.64,60.09,91.63,37.2,NORMAL,C,2026/05/25 00:59:04
TRF-0008,Medina-Central,230.08,101.87,60.05,23.44,45.3,NORMAL,B,05/25/2026 00:59:04
TRF-0009,Abha-City,229.3,154.17,60.0,35.35,52.2,NORMAL,A,05/25/2026 00:59:04
TRF-0010,Tabuk-Center,227.56,269.22,60.03,61.26,54.1,NORMAL,C,2026/05/25 00:59:04
TRF-0002,Riyadh-East,226.68,143.54,59.84,32.54,44.0,NORMAL,A,25-05-2026 00:59
TRF-0003,Jeddah-Main,223.75,467.65,59.85,104.64,38.9,NORMAL,A,2026-05-25 00:59:04
TRF-0004,Jeddah-Industrial,236.44,488.98,59.98,115.61,33.9,NORMAL,A,2026/05/25 00:59:04
TRF-0005,Dammam-Central,238.86,275.14,60.04,65.72,47.3,NORMAL,A,2026/05/25 00:59:04
TRF-0006,Dammam-Port,238.78,460.06,59.83,109.85,49.6,NORMAL,C,05/25/2026 00:59:04
TRF-0007,Mecca-Haram,237.37,446.74,59.96,106.04,56.8,NORMAL,A,2026-05-25 00:59:04
TRF-0007,Mecca-Haram,237.37,446.74,59.96,106.04,56.8,NORMAL,A,2026-05-25 00:59:04
TRF-0008,Medina-Central,223.66,469.13,60.09,104.93,52.0,NORMAL,A,2026/05/25 00:59:04
TRF-0009,Abha-City,232.28,413.12,59.91,95.96,56.7,NORMAL,C,2026/05/25 00:59:04
TRF-0010,Tabuk-Center,224.9,452.24,60.08,101.71,57.1,NORMAL,B,20260525T005904
TRF-0001,Riyadh-North,232.25,409.47,60.07,95.1,43.5,NORMAL,A,20260525T005904
TRF-0002,Riyadh-East,228.89,316.29,59.92,72.4,48.9,NORMAL,A,20260525T005904
TRF-0003,Jeddah-Main,228.85,475.28,59.81,108.77,52.2,NORMAL,A,2026/05/25 00:59:04
TRF-0004,Jeddah-Industrial,224.78,384.5,60.11,86.43,48.3,NORMAL,A,2026/05/25 00:59:04
TRF-0005,Dammam-Central,225.1,155.71,59.93,35.05,55.7,NORMAL,C,2026/05/25 00:59:04
TRF-0006,Dammam-Port,234.15,378.96,60.08,88.73,56.3,NORMAL,B,2026/05/25 00:59:04
TRF-0007,Mecca-Haram,221.49,105.41,60.06,23.35,62.3,NORMAL,B,2026/05/25 00:59:04
TRF-0008,Medina-Central,223.26,270.24,60.16,60.33,59.8,NORMAL,C,2026-05-25 00:59:04
TRF-0009,Abha-City,232.58,315.07,60.0,73.28,53.2,NORMAL,B,25-05-2026 00:59
TRF-0010,Tabuk-Center,232.89,335.48,60.11,78.13,43.4,NORMAL,C,20260525T005904
TRF-0001,Riyadh-North,226.34,272.41,60.05,61.66,250.0,OVERHEAT,A,2026-05-25 00:59:04
TRF-0002,Riyadh-East,231.05,145.8,60.07,33.69,59.1,NORMAL,C,2026/05/25 00:59:04
TRF-0003,Jeddah-Main,224.64,263.04,59.84,59.09,61.3,NORMAL,A,20260525T005904
