transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0003,Jeddah-Main,239.29,319.01,60.09,76.34,30.6,NORMAL,C,05/25/2026 00:59:07
TRF-0004,Jeddah-Industrial,227.47,191.67,60.1,43.6,48.0,NORMAL,B,20260525T005907
TRF-0005,Dammam-Central,233.38,247.02,59.89,57.65,38.2,NORMAL,C,20260525T005907
TRF-0006,Dammam-Port,239.67,192.86,59.86,46.22,40.7,NORMAL,A,25-05-2026 00:59
TRF-0007,Mecca-Haram,228.82,298.91,60.02,68.4,43.9,NORMAL,A,2026-05-25 00:59:07
TRF-0008,Medina-Central,234.77,459.16,60.09,107.8,41.8,NORMAL,A,05/25/2026 00:59:07
TRF-0009,Abha-City,231.41,1172.36,59.86,274.14,110.5,OVERLOAD,C,25-05-2026 00:59
TRF-0010,Tabuk-Center,227.36,242.69,59.93,55.18,52.1,NORMAL,C,2026-05-25 00:59:07
TRF-0001,Riyadh-North,220.22,358.98,60.03,79.05,62.9,NORMAL,C,20260525T005907
TRF-0002,Riyadh-East,225.56,371.99,60.08,83.91,60.8,NORMAL,B,2026-05-25 00:59:07
TRF-0003,Jeddah-Main,231.02,440.23,60.09,101.7,31.3,NORMAL,A,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,232.83,449.11,59.86,104.57,40.4,NORMAL,B,2026-05-25 00:59:07
TRF-0005,Dammam-Central,230.78,936.34,60.15,292.72,116.0,OVERLOAD,C,2026/05/25 00:59:07
TRF-0006,Dammam-Port,223.75,331.76,59.94,74.23,34.4,NORMAL,A,05/25/2026 00:59:07
TRF-0007,Mecca-Haram,239.41,335.75,60.18,80.38,49.8,NORMAL,B,2026-05-25 00:59:07
TRF-0008,Medina-Central,230.57,499.12,60.19,115.08,,NORMAL,A,20260525T005907
TRF-0009,Abha-City,233.82,212.77,59.81,49.75,61.7,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,223.96,406.26,60.01,90.99,46.2,NORMAL,B,05/25/2026 00:59:07
TRF-0001,Riyadh-North,228.37,181.21,60.04,41.38,31.0,NORMAL,B,2026/05/25 00:59:07
TRF-0002,Riyadh-East,225.4,139.21,59.83,31.38,47.8,NORMAL,A,2026/05/25 00:59:07
