transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0001,Riyadh-North,230.52,232.71,60.01,53.64,60.8,NORMAL,A,25-05-2026 00:58
TRF-0002,Riyadh-East,225.5,130.27,59.86,29.38,59.3,NORMAL,B,2026/05/25 00:58:43
TRF-0003,Jeddah-Main,237.15,290.36,60.01,68.86,56.8,NORMAL,C,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,230.18,159.83,60.05,36.79,34.6,NORMAL,B,20260525T005843
TRF-0005,Dammam-Central,236.99,445.65,59.83,105.61,44.2,NORMAL,C,2026-05-25 00:58:43
TRF-0006,Dammam-Port,222.16,289.57,60.16,64.33,49.2,NORMAL,C,2026-05-25 00:58:43
TRF-0007,Mecca-Haram,234.83,331.94,,77.95,34.3,NORMAL,B,25-05-2026 00:58
TRF-0008,Medina-Central,227.09,179.56,60.17,40.78,60.3,NORMAL,B,20260525T005843
TRF-0009,Abha-City,227.86,342.99,59.87,78.15,60.7,NORMAL,A,05/25/2026 00:58:43
TRF-0010,Tabuk-Center,237.25,345.3,59.88,81.92,49.9,NORMAL,C,2026/05/25 00:58:43
TRF-0001,Riyadh-North,235.08,333.26,60.07,78.34,37.4,NORMAL,B,2026/05/25 00:58:43
TRF-0002,Riyadh-East,227.83,349.64,59.93,79.66,60.6,NORMAL,A,05/25/2026 00:58:43
TRF-0003,Jeddah-Main,224.26,239.07,60.03,53.61,250.0,OVERHEAT,B,2026-05-25 00:58:43
TRF-0004,Jeddah-Industrial,222.62,357.16,59.98,79.51,56.2,NORMAL,B,2026/05/25 00:58:43
TRF-0005,Dammam-Central,235.49,314.8,59.87,,51.0,NORMAL,A,20260525T005843
TRF-0006,Dammam-Port,230.08,372.51,59.91,85.71,42.2,NORMAL,B,20260525T005843
TRF-0006,Dammam-Port,230.08,372.51,59.91,85.71,42.2,NORMAL,B,20260525T005843
TRF-0007,Mecca-Haram,230.46,307.69,60.12,70.91,41.7,NORMAL,B,25-05-2026 00:58
TRF-0008,Medina-Central,230.21,280.51,59.91,64.58,57.4,NORMAL,B,05/25/2026 00:58:43
TRF-0009,Abha-City,238.41,113.65,60.05,27.1,60.2,NORMAL,A,2026/05/25 00:58:43
TRF-0010,Tabuk-Center,221.86,281.63,59.98,62.48,37.3,NORMAL,B,20260525T005843
TRF-0001,Riyadh-North,226.46,178.63,59.84,40.45,54.6,NORMAL,C,2026/05/25 00:58:44
TRF-0002,Riyadh-East,238.92,307.98,59.95,73.58,33.1,NORMAL,A,05/25/2026 00:58:44
TRF-0003,Jeddah-Main,224.1,227.63,59.99,51.01,250.0,OVERHEAT,B,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,237.96,176.51,59.9,42.0,54.1,NORMAL,C,2026/05/25 00:58:44
TRF-0005,Dammam-Central,222.41,236.74,59.89,52.65,64.0,NORMAL,B,25-05-2026 00:58
TRF-0006,Dammam-Port,226.09,227.34,60.18,51.4,63.2,NORMAL,C,25-05-2026 00:58
TRF-0007,Mecca-Haram,236.7,380.9,59.99,90.16,32.7,NORMAL,A,2026/05/25 00:58:44
TRF-0008,Medina-Central,228.96,152.29,60.08,34.87,46.7,NORMAL,C,25-05-2026 00:58
TRF-0009,Abha-City,229.75,498.0,59.84,114.42,56.8,NORMAL,C,20260525T005844
TRF-0010,Tabuk-Center,237.0,239.41,59.84,56.74,54.5,NORMAL,A,25-05-2026 00:58
TRF-0001,Riyadh-North,233.08,320.11,59.82,74.61,52.9,NORMAL,B,2026/05/25 00:58:44
TRF-0002,Riyadh-East,235.06,179.86,59.96,42.28,64.2,NORMAL,B,05/25/2026 00:58:44
TRF-0003,Jeddah-Main,231.78,419.3,59.93,97.19,45.9,NORMAL,A,20260525T005844
TRF-0004,Jeddah-Industrial,226.8,249.36,59.99,56.55,46.6,NORMAL,B,2026-05-25 00:58:44
TRF-0005,Dammam-Central,229.9,431.27,60.08,99.15,57.3,NORMAL,B,20260525T005844
TRF-0006,Dammam-Port,228.77,205.9,60.11,47.1,59.5,NORMAL,A,05/25/2026 00:58:44
TRF-0007,Mecca-Haram,224.77,494.14,60.02,111.07,64.2,NORMAL,B,2026-05-25 00:58:44
TRF-0008,Medina-Central,222.57,272.78,59.8,60.71,53.3,NORMAL,B,05/25/2026 00:58:44
TRF-0009,Abha-City,223.4,,60.15,25.22,30.4,NORMAL,B,25-05-2026 00:58
TRF-0010,Tabuk-Center,232.31,346.12,59.82,80.41,37.6,NORMAL,B,20260525T005844
TRF-0001,Riyadh-North,237.99,242.02,60.13,57.6,46.1,NORMAL,C,25-05-2026 00:58
TRF-0002,Riyadh-East,237.88,0.0,60.12,0.0,59.1,OUTAGE,A,2026/05/25 00:58:44
TRF-0003,Jeddah-Main,220.29,399.91,60.15,88.1,53.7,NORMAL,C,05/25/2026 00:58:44
TRF-0004,Jeddah-Industrial,228.47,204.38,59.96,46.69,64.7,NORMAL,C,05/25/2026 00:58:44
TRF-0005,Dammam-Central,236.94,382.61,59.93,90.66,57.4,NORMAL,B,25-05-2026 00:58
TRF-0006,Dammam-Port,229.74,349.04,60.03,80.19,31.6,NORMAL,A,2026-05-25 00:58:44
TRF-0007,Mecca-Haram,239.99,230.72,59.99,55.37,52.0,NORMAL,A,05/25/2026 00:58:44
TRF-0008,Medina-Central,236.99,439.38,60.17,104.13,42.7,NORMAL,A,2026/05/25 00:58:44
TRF-0009,Abha-City,221.82,407.41,59.97,90.37,53.8,NORMAL,A,2026/05/25 00:58:44
TRF-0010,Tabuk-Center,236.15,133.9,59.84,31.62,38.8,NORMAL,B,05/25/2026 00:58:44
TRF-0001,Riyadh-North,235.67,167.69,60.06,39.52,63.1,NORMAL,B,20260525T005844
TRF-0002,Riyadh-East,234.56,167.49,59.95,39.29,62.7,NORMAL,C,20260525T005844
TRF-0003,Jeddah-Main,239.3,203.8,59.91,48.77,32.6,NORMAL,B,20260525T005844
TRF-0004,Jeddah-Industrial,235.98,499.51,,117.87,39.3,NORMAL,A,2026/05/25 00:58:44
TRF-0005,Dammam-Central,223.87,195.72,59.99,43.82,33.1,NORMAL,B,20260525T005844
TRF-0006,Dammam-Port,234.15,340.37,60.17,79.7,44.0,NORMAL,B,25-05-2026 00:58
TRF-0007,Mecca-Haram,226.15,481.05,59.81,108.79,61.0,NORMAL,C,25-05-2026 00:58
TRF-0008,Medina-Central,238.81,486.86,59.94,116.27,37.4,NORMAL,B,25-05-2026 00:58
TRF-0009,Abha-City,222.2,311.18,59.82,69.14,37.3,NORMAL,B,05/25/2026 00:58:44
TRF-0010,Tabuk-Center,227.99,199.09,59.86,45.39,63.9,NORMAL,C,20260525T005844
TRF-0001,Riyadh-North,223.83,,59.88,102.55,49.6,NORMAL,A,05/25/2026 00:58:44
TRF-0002,Riyadh-East,224.46,146.66,59.81,32.92,47.7,NORMAL,C,25-05-2026 00:58
TRF-0003,Jeddah-Main,238.38,338.28,59.85,80.64,34.1,NORMAL,C,05/25/2026 00:58:44
TRF-0004,Jeddah-Industrial,239.91,270.98,60.06,65.01,58.4,NORMAL,B,20260525T005844
TRF-0005,Dammam-Central,223.76,417.94,59.84,93.52,46.1,NORMAL,B,25-05-2026 00:58
TRF-0006,Dammam-Port,236.28,110.73,59.94,26.16,64.3,NORMAL,C,25-05-2026 00:58
TRF-0007,Mecca-Haram,228.46,207.09,60.19,47.31,44.7,NORMAL,B,20260525T005844
TRF-0008,Medina-Central,-230,455.21,60.1,108.64,40.9,NORMAL,C,25-05-2026 00:58
TRF-0009,Abha-City,223.97,346.5,60.08,77.61,54.9,NORMAL,B,05/25/2026 00:58:44
TRF-0010,Tabuk-Center,227.83,266.15,59.94,60.64,59.6,NORMAL,B,2026/05/25 00:58:44
TRF-0001,Riyadh-North,232.87,334.23,59.86,77.83,250.0,OVERHEAT,A,2026/05/25 00:58:44
TRF-0002,Riyadh-East,232.15,253.52,60.16,58.85,32.3,NORMAL,C,25-05-2026 00:58
TRF-0003,Jeddah-Main,220.23,299.28,60.01,65.91,31.3,NORMAL,B,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,221.36,376.52,59.93,83.35,60.4,NORMAL,B,2026-05-25 00:58:44
TRF-0005,Dammam-Central,222.92,1131.96,59.83,293.47,109.6,OVERLOAD,A,25-05-2026 00:58
