Name                                                                                                                                                                             , Price, Rating, Img_Path
A Light in the Attic                                                                                                                                                             , 51.77,      3, images/A Light in the Attic.jpg
Tipping the Velvet                                                                                                                                                               , 53.74,      1, images/Tipping the Velvet.jpg
Soumission                                                                                                                                                                       , 50.1 ,      1, images/Soumission.jpg
Sharp Objects                                                                                                                                                                    , 47.82,      4, images/Sharp Objects.jpg
Sapiens: A Brief History of Humankind                                                                                                                                            , 54.23,      5, images/Sapiens A Brief History of Humankind.jpg
The Requiem Red                                                                                                                                                                  , 22.65,      1, images/The Requiem Red.jpg
The Dirty Little Secrets of Getting Your Dream Job                                                                                                                               , 33.34,      4, images/The Dirty Little Secrets of Getting Your Dream Job.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"                                                                                        , 17.93,      3, images/The Coming Woman A Novel Based on the Life of the.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics                                                                                   , 22.6 ,      4, images/The Boys in the Boat Nine Americans and Their Epi.jpg
The Black Maria                                                                                                                                                                  , 52.15,      1, images/The Black Maria.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)"                                                                                                                                 , 13.99,      2, "images/Starving Hearts (Triangular Trade Trilogy, #1).jpg"
Shakespeare's Sonnets                                                                                                                                                            , 20.66,      4, images/Shakespeare's Sonnets.jpg
Set Me Free                                                                                                                                                                      , 17.46,      5, images/Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)                                                                                                                          , 52.29,      5, images/Scott Pilgrim's Precious Little Life (Scott Pilgri.jpg
Rip it Up and Start Again                                                                                                                                                        , 35.02,      5, images/Rip it Up and Start Again.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"                                                                                             , 57.25,      3, images/Our Band Could Be Your Life Scenes from the Ameri.jpg
Olio                                                                                                                                                                             , 23.88,      1, images/Olio.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849                                                                                                                            , 37.59,      1, images/Mesaerion The Best Science Fiction Stories 1800-1.jpg
Libertarianism for Beginners                                                                                                                                                     , 51.33,      2, images/Libertarianism for Beginners.jpg
It's Only the Himalayas                                                                                                                                                          , 45.17,      2, images/It's Only the Himalayas.jpg
In Her Wake                                                                                                                                                                      , 12.84,      1, images/In Her Wake.jpg
How Music Works                                                                                                                                                                  , 37.32,      2, images/How Music Works.jpg
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More", 30.52,      3, "images/Foolproof Preserving A Guide to Small Batch Jams,.jpg"
Chase Me (Paris Nights #2)                                                                                                                                                       , 25.27,      5, images/Chase Me (Paris Nights #2).jpg
Black Dust                                                                                                                                                                       , 34.53,      5, images/Black Dust.jpg
Birdsong: A Story in Pictures                                                                                                                                                    , 54.64,      3, images/Birdsong A Story in Pictures.jpg
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana                                                                      , 22.5 ,      3, images/America's Cradle of Quarterbacks Western Pennsylv.jpg
Aladdin and His Wonderful Lamp                                                                                                                                                   , 53.13,      3, images/Aladdin and His Wonderful Lamp.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe                                                                                                                            , 40.3 ,      5, images/Worlds Elsewhere Journeys Around Shakespeareâs .jpg
Wall and Piece                                                                                                                                                                   , 44.18,      4, images/Wall and Piece.jpg
The Four Agreements: A Practical Guide to Personal Freedom                                                                                                                       , 17.66,      5, images/The Four Agreements A Practical Guide to Personal.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate                                                                                                        , 31.05,      3, images/The Five Love Languages How to Express Heartfelt .jpg
The Elephant Tree                                                                                                                                                                , 23.82,      5, images/The Elephant Tree.jpg
The Bear and the Piano                                                                                                                                                           , 36.89,      1, images/The Bear and the Piano.jpg
Sophie's World                                                                                                                                                                   , 15.94,      5, images/Sophie's World.jpg
Penny Maybe                                                                                                                                                                      , 33.29,      3, images/Penny Maybe.jpg
Maude (1883-1993):She Grew Up with the country                                                                                                                                   , 18.02,      2, images/Maude (1883-1993)She Grew Up with the country.jpg
"In a Dark, Dark Wood"                                                                                                                                                           , 19.63,      1, "images/In a Dark, Dark Wood.jpg"
Behind Closed Doors                                                                                                                                                              , 52.22,      4, images/Behind Closed Doors.jpg
You can't bury them all: Poems                                                                                                                                                   , 33.63,      2, images/You can't bury them all Poems.jpg
