Name,Price,Rating,Img_Path
Sapiens: A Brief History of Humankind,54.23,5,images/Sapiens A Brief History of Humankind.jpg
Set Me Free,17.46,5,images/Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,images/Scott Pilgrim's Precious Little Life (Scott Pilgri.jpg
Rip it Up and Start Again,35.02,5,images/Rip it Up and Start Again.jpg
Chase Me (Paris Nights #2),25.27,5,images/Chase Me (Paris Nights #2).jpg
Black Dust,34.53,5,images/Black Dust.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,images/Worlds Elsewhere Journeys Around Shakespeareâs .jpg
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,images/The Four Agreements A Practical Guide to Personal.jpg
The Elephant Tree,23.82,5,images/The Elephant Tree.jpg
Sophie's World,15.94,5,images/Sophie's World.jpg
