transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0009,Abha-City,226.82,261.65,59.99,59.35,32.4,NORMAL,C,2026-05-25 00:58:59
TRF-0010,Tabuk-Center,-230,167.54,59.84,38.71,43.3,NORMAL,C,2026-05-25 00:58:59
TRF-0001,Riyadh-North,237.39,454.6,60.15,107.92,41.1,NORMAL,B,25-05-2026 00:58
TRF-0002,Riyadh-East,232.71,0.0,60.1,0.0,46.7,OUTAGE,C,05/25/2026 00:58:59
TRF-0003,Jeddah-Main,223.67,476.13,59.9,106.5,56.8,NORMAL,A,05/25/2026 00:58:59
TRF-0004,Jeddah-Industrial,236.91,130.92,60.02,31.02,57.3,NORMAL,C,2026/05/25 00:58:59
TRF-0005,Dammam-Central,232.98,448.66,59.83,104.53,42.8,NORMAL,B,25-05-2026 00:58
TRF-0006,Dammam-Port,224.1,298.59,60.13,66.91,61.1,NORMAL,C,20260525T005859
TRF-0007,Mecca-Haram,226.47,385.29,60.1,87.26,58.7,NORMAL,C,05/25/2026 00:58:59
TRF-0008,Medina-Central,239.36,435.35,59.91,104.21,52.9,NORMAL,B,2026-05-25 00:58:59
TRF-0009,Abha-City,226.3,332.23,59.97,75.18,37.1,NORMAL,A,20260525T005859
TRF-0010,Tabuk-Center,222.23,170.85,59.88,37.97,40.6,NORMAL,B,2026/05/25 00:58:59
TRF-0001,Riyadh-North,225.69,362.04,59.82,81.71,54.1,NORMAL,C,05/25/2026 00:58:59
TRF-0002,Riyadh-East,234.41,242.66,60.12,56.88,30.6,NORMAL,C,20260525T005859
TRF-0003,Jeddah-Main,225.31,152.52,59.96,34.36,50.7,NORMAL,A,20260525T005859
TRF-0004,Jeddah-Industrial,223.52,455.36,60.05,101.78,32.2,NORMAL,C,2026/05/25 00:58:59
TRF-0005,Dammam-Central,234.0,391.84,59.85,91.69,38.2,NORMAL,B,05/25/2026 00:58:59
TRF-0006,Dammam-Port,237.29,263.48,60.03,62.52,42.3,NORMAL,B,05/25/2026 00:58:59
TRF-0007,Mecca-Haram,228.39,175.2,65.89,40.01,56.8,FREQ_DRIFT,B,2026/05/25 00:58:59
TRF-0008,Medina-Central,225.02,263.27,60.15,59.24,43.9,NORMAL,B,2026/05/25 00:58:59
TRF-0009,Abha-City,239.81,453.63,59.93,108.79,44.4,NORMAL,A,20260525T005859
TRF-0010,Tabuk-Center,225.97,295.9,59.84,66.86,39.2,NORMAL,B,2026/05/25 00:58:59
TRF-0001,Riyadh-North,233.15,179.07,59.83,41.75,47.5,NORMAL,B,05/25/2026 00:58:59
TRF-0002,Riyadh-East,233.33,340.87,60.04,79.54,30.2,NORMAL,A,20260525T005859
TRF-0003,Jeddah-Main,230.08,402.33,60.01,92.57,54.3,NORMAL,A,2026/05/25 00:58:59
TRF-0004,Jeddah-Industrial,232.35,368.89,59.92,85.71,,NORMAL,B,20260525T005859
TRF-0005,Dammam-Central,230.14,430.11,59.88,98.99,34.7,NORMAL,B,2026-05-25 00:58:59
TRF-0006,Dammam-Port,236.64,120.16,59.99,28.43,39.1,NORMAL,C,2026/05/25 00:58:59
TRF-0007,Mecca-Haram,229.09,408.43,59.87,93.57,36.6,NORMAL,B,25-05-2026 00:58
TRF-0008,Medina-Central,227.09,192.63,59.84,43.74,56.0,NORMAL,C,05/25/2026 00:58:59
TRF-0009,Abha-City,239.18,167.76,60.14,40.12,35.5,NORMAL,C,20260525T005859
TRF-0010,Tabuk-Center,230.11,376.12,60.18,86.55,51.0,NORMAL,B,20260525T005859
TRF-0001,Riyadh-North,230.17,198.0,60.04,45.57,43.8,NORMAL,C,2026-05-25 00:59:00
TRF-0002,Riyadh-East,221.17,245.16,59.87,54.22,51.7,NORMAL,A,2026/05/25 00:59:00
TRF-0003,Jeddah-Main,232.15,436.69,60.13,101.38,36.5,NORMAL,B,2026/05/25 00:59:00
TRF-0004,Jeddah-Industrial,239.86,198.91,60.01,47.71,,NORMAL,A,2026/05/25 00:59:00
TRF-0005,Dammam-Central,232.35,175.94,60.02,40.88,31.5,NORMAL,C,05/25/2026 00:59:00
TRF-0006,Dammam-Port,239.66,147.16,59.92,35.27,38.7,NORMAL,C,25-05-2026 00:59
TRF-0007,Mecca-Haram,223.4,354.85,59.94,79.27,36.3,NORMAL,A,20260525T005900
TRF-0008,Medina-Central,234.44,146.6,60.1,34.37,46.7,NORMAL,C,2026/05/25 00:59:00
TRF-0009,Abha-City,229.84,216.72,59.92,49.81,64.5,NORMAL,B,20260525T005900
TRF-0010,Tabuk-Center,237.68,157.59,60.0,37.46,32.1,NORMAL,C,20260525T005900
TRF-0001,Riyadh-North,233.99,208.93,59.82,48.89,36.7,NORMAL,B,25-05-2026 00:59
TRF-0002,Riyadh-East,235.08,342.64,60.12,80.55,63.3,NORMAL,C,05/25/2026 00:59:00
TRF-0003,Jeddah-Main,230.69,204.3,60.19,47.13,32.7,NORMAL,B,05/25/2026 00:59:00
TRF-0004,Jeddah-Industrial,222.62,493.47,59.93,109.86,51.2,NORMAL,C,05/25/2026 00:59:00
TRF-0005,Dammam-Central,230.29,431.12,60.09,99.28,45.8,NORMAL,A,2026-05-25 00:59:00
TRF-0006,Dammam-Port,220.36,162.02,60.06,35.7,62.0,NORMAL,B,25-05-2026 00:59
TRF-0007,Mecca-Haram,224.87,294.03,60.03,66.12,56.3,NORMAL,A,2026/05/25 00:59:00
TRF-0008,Medina-Central,230.26,156.54,59.81,36.04,250.0,OVERHEAT,C,25-05-2026 00:59
TRF-0009,Abha-City,234.64,374.74,60.18,87.93,45.8,NORMAL,A,05/25/2026 00:59:00
TRF-0010,Tabuk-Center,221.84,177.26,60.07,39.32,42.2,NORMAL,A,25-05-2026 00:59
TRF-0001,Riyadh-North,226.13,469.85,60.1,106.25,58.6,NORMAL,A,2026-05-25 00:59:00
TRF-0002,Riyadh-East,239.12,226.48,60.12,54.16,52.7,NORMAL,B,25-05-2026 00:59
TRF-0003,Jeddah-Main,233.4,336.17,60.12,78.46,36.5,NORMAL,C,2026/05/25 00:59:00
TRF-0004,Jeddah-Industrial,227.81,371.32,60.16,84.59,51.6,NORMAL,A,2026-05-25 00:59:00
TRF-0005,Dammam-Central,236.57,199.67,60.08,47.24,47.5,NORMAL,C,25-05-2026 00:59
TRF-0006,Dammam-Port,239.36,185.36,59.86,44.37,46.2,NORMAL,A,2026/05/25 00:59:00
TRF-0007,Mecca-Haram,226.16,370.49,59.88,,40.0,NORMAL,C,25-05-2026 00:59
TRF-0008,Medina-Central,234.56,453.33,60.17,106.33,31.7,NORMAL,C,2026/05/25 00:59:00
TRF-0009,Abha-City,236.97,294.15,59.96,69.7,41.8,NORMAL,C,2026-05-25 00:59:00
TRF-0010,Tabuk-Center,231.21,286.63,59.94,66.27,64.5,NORMAL,A,2026-05-25 00:59:00
TRF-0001,Riyadh-North,227.7,302.59,59.94,68.9,65.0,NORMAL,A,2026/05/25 00:59:00
TRF-0002,Riyadh-East,234.14,148.7,60.07,34.82,45.7,NORMAL,C,25-05-2026 00:59
TRF-0003,Jeddah-Main,232.66,448.97,60.13,104.46,46.8,NORMAL,C,05/25/2026 00:59:00
TRF-0004,Jeddah-Industrial,228.63,369.93,60.1,84.58,36.3,NORMAL,B,2026/05/25 00:59:00
TRF-0005,Dammam-Central,232.88,421.02,59.84,98.05,47.9,NORMAL,B,2026-05-25 00:59:00
